id_a,id_b,gene_a,gene_b,shared_20mers,coverage_a,coverage_b
mRNA_001390,iB_04804,TC010304,TC034963,313,0.6007677543186181,0.945619335347432
mRNA_001390,iB_16271,TC010304,TC034883,164,0.31477927063339733,0.7161572052401747
mRNA_001391,iB_04851,TC010492,TC032526,349,0.6647619047619048,0.6547842401500938
mRNA_001391,mRNA_001253,TC010492,TC010558,357,0.68,0.7794759825327511
mRNA_001394,iB_13742,TC006930,TC005210,154,0.33405639913232105,0.7623762376237624
mRNA_001400,iB_16797,TC031174,TC000001,131,0.2524084778420039,0.6208530805687204
mRNA_001410,iB_10826,TC006960,TC032976,172,0.8113207547169812,0.7020408163265306
mRNA_001427,mRNA_000662,TC010687,TC001856,110,0.46218487394957986,0.5263157894736842
mRNA_001429,iB_15432,TC010616,TC002020,166,0.7867298578199052,0.7942583732057417
mRNA_001442,iB_17483,TC032975,TC010986,119,0.2463768115942029,0.5891089108910891
mRNA_001452,iB_05955,TC010227,TC033931,172,0.8113207547169812,0.4246913580246914
mRNA_001464,iB_07458,TC030242,TC031208,363,0.6685082872928176,0.654054054054054
mRNA_001468,iB_15429,TC030979,TC031085,130,0.5603448275862069,0.7692307692307693
mRNA_001469,mRNA_000848,TC002127,TC002818,105,0.5097087378640777,0.20669291338582677
mRNA_001490,mRNA_000079,TC005296,TC001545,132,0.6255924170616114,0.25680933852140075
mRNA_001493,iB_07426,TC012952,TC034897,327,0.7936893203883495,0.6078066914498141
mRNA_001506,iB_15437,TC005263,TC008591,201,0.44370860927152317,1.0
mRNA_001515,iB_06403,TC001850,TC012247,389,0.778,0.7749003984063745
mRNA_001521,iB_07196,TC008195,TC031107,434,0.8362235067437379,1.0
mRNA_001532,iB_15871,TC030893,TC030894,129,0.5758928571428571,0.675392670157068
mRNA_001538,iB_00115,TC000518,TC001059,312,0.6666666666666666,0.6917960088691796
mRNA_001539,iB_09475,TC016272,TC016290,243,0.7838709677419354,1.0
mRNA_001540,mRNA_001479,TC030947,TC032426,73,0.3348623853211009,0.5328467153284672
mRNA_001541,iB_09284,TC006246,TC006247,144,0.384,0.62882096069869
mRNA_001553,iB_04346,TC000071,TC033563,155,0.7560975609756098,0.3436807095343681
mRNA_001565,iB_07001,TC003696,TC031044,481,0.9958592132505176,0.9876796714579056
mRNA_001567,iB_03921,TC031259,TC035031,162,0.7136563876651982,0.3286004056795132
mRNA_001570,iB_08595,TC031360,TC034613,207,1.0,0.4519650655021834
mRNA_001573,iB_06785,TC000472,TC032166,220,0.8906882591093117,0.4339250493096647
mRNA_001575,iB_07871,TC001040,TC030996,393,0.7923387096774194,0.7332089552238806
mRNA_001589,iB_16351,TC005153,TC002326,168,0.34854771784232363,0.5813148788927336
mRNA_001595,iB_16457,TC031007,TC031627,315,0.6389452332657201,1.0
mRNA_001609,iB_01433,TC008895,TC009950,160,1.0,0.39119804400978
mRNA_001624,iB_05703,TC014827,TC034951,250,0.576036866359447,0.5446623093681917
mRNA_001631,iB_01100,TC006905,TC015454,442,0.9266247379454927,0.8857715430861723
mRNA_001682,iB_09543,TC001984,TC034027,132,0.2875816993464052,0.9295774647887324
mRNA_001682,iB_15428,TC001984,TC030932,171,0.37254901960784315,0.7402597402597403
mRNA_001692,iB_03702,TC004176,TC035038,200,0.9803921568627451,0.44052863436123346
mRNA_001707,iB_10784,TC008512,TC033893,131,0.5954545454545455,0.6485148514851485
mRNA_001727,iB_04872,TC008599,TC010570,153,0.6455696202531646,0.32210526315789473
mRNA_001749,iB_07723,TC010212,TC034537,184,0.8975609756097561,0.3586744639376218
mRNA_001757,iB_03182,TC001429,TC031343,142,1.0,0.30406852248394006
mRNA_001764,iB_10518,TC011008,TC011475,217,0.44742268041237115,1.0
mRNA_001819,mRNA_001361,TC010689,TC010620,160,0.7881773399014779,0.3404255319148936
mRNA_001828,iB_03899,TC031598,TC031761,245,0.4989816700610998,0.5349344978165939
mRNA_001846,iB_09322,TC015171,TC015539,210,0.3867403314917127,0.967741935483871
mRNA_001858,iB_09035,TC011541,unknown_iB_09035,103,0.20275590551181102,0.5
mRNA_001868,iB_16345,TC001951,TC030938,60,0.47619047619047616,0.5
mRNA_001872,iB_07355,TC014889,TC015666,284,0.5941422594142259,0.6410835214446953
mRNA_001874,iB_06293,TC011762,TC012730,258,1.0,0.6564885496183206
mRNA_001892,iB_10547,TC030325,TC034194,212,0.9814814814814815,0.9814814814814815
mRNA_001895,iB_07516,TC005653,TC006466,389,0.9067599067599068,0.778
mRNA_001899,mRNA_001039,TC015482,TC005263,148,0.32671081677704195,0.7254901960784313
mRNA_001923,mRNA_001134,TC012413,TC007504,99,0.6036585365853658,0.2682926829268293
mRNA_001924,iB_07771,TC031861,TC035024,354,0.7094188376753507,0.69140625
mRNA_001943,iB_05256,TC012513,TC030917,234,0.54292343387471,0.5154185022026432
mRNA_001961,iB_09330,TC030133,TC032787,112,0.5463414634146342,0.4497991967871486
mRNA_001968,iB_03891,TC004193,TC031715,330,0.7205240174672489,0.6238185255198487
mRNA_001978,iB_01486,TC009643,TC033596,169,0.7897196261682243,0.4720670391061452
mRNA_001985,iB_08007,TC001642,TC011458,202,0.8595744680851064,0.4031936127744511
mRNA_001996,mRNA_001671,TC002454,TC016180,125,0.5580357142857143,0.5
mRNA_002008,iB_07409,TC009209,TC033579,190,0.5352112676056338,0.40169133192389006
mRNA_002012,iB_15871,TC031225,TC030894,96,0.20600858369098712,0.5026178010471204
mRNA_002029,iB_03698,TC010714,TC035027,238,0.46303501945525294,0.5129310344827587
mRNA_002037,iB_15429,TC030969,TC031085,124,0.6458333333333334,0.7337278106508875
mRNA_002040,iB_03305,TC002108,TC010998,253,0.5536105032822757,0.5634743875278396
mRNA_002044,iB_06272,TC009445,TC033518,408,0.7891682785299806,0.769811320754717
mRNA_002048,iB_02543,TC035005,TC035038,461,0.9238476953907816,0.9766949152542372
mRNA_002064,iB_07749,TC031171,TC033904,171,0.7095435684647303,0.4803370786516854
mRNA_002069,iB_07408,TC008991,TC033716,323,0.6814345991561181,0.6129032258064516
mRNA_002072,iB_05787,TC011456,TC015255,117,0.582089552238806,0.33815028901734107
mRNA_002079,iB_08963,TC033554,TC035035,189,0.4144736842105263,0.8475336322869955
mRNA_002080,iB_03223,TC001625,TC030879,259,0.5211267605633803,0.5606060606060606
mRNA_002087,iB_05741,TC015020,TC030909,232,0.4989247311827957,0.5098901098901099
mRNA_002102,iB_12615,TC006076,TC011483,120,0.5607476635514018,0.5333333333333333
mRNA_002117,iB_07781,TC031898,TC034815,201,1.0,0.46635730858468677
mRNA_002140,mRNA_000157,TC032486,TC016145,147,0.3068893528183716,0.550561797752809
mRNA_002141,iB_16003,TC002328,TC004101,176,0.7553648068669528,0.7963800904977375
mRNA_002155,iB_06770,TC010682,TC034935,109,0.5215311004784688,0.22154471544715448
mRNA_002166,mRNA_000051,TC034982,TC033485,159,0.3456521739130435,0.6259842519685039
mRNA_002190,iB_16377,TC010687,TC012983,73,0.14867617107942974,0.6460176991150443
mRNA_002192,mRNA_000552,TC006070,TC005240,326,0.7164835164835165,0.844559585492228
mRNA_002195,iB_10822,TC031828,TC034944,178,0.3278084714548803,0.8054298642533937
mRNA_002205,iB_03730,TC004348,TC034492,145,1.0,0.3419811320754717
mRNA_002216,iB_16003,TC004982,TC004101,147,0.7313432835820896,0.665158371040724
mRNA_002227,mRNA_001123,TC031587,TC032775,203,0.9103139013452914,0.3881453154875717
mRNA_002233,iB_16447,TC033662,TC033663,269,0.5358565737051793,1.0
mRNA_002236,iB_15451,TC034206,TC002334,169,0.5348101265822784,0.8009478672985783
mRNA_002238,iB_17108,TC032007,TC004880,167,0.5818815331010453,1.0
mRNA_002239,iB_13274,TC033492,TC031935,78,0.23008849557522124,0.6964285714285714
mRNA_002252,mRNA_000330,TC031295,TC031296,326,0.7056277056277056,0.6950959488272921
mRNA_002253,iB_15730,TC015846,TC034747,148,0.6141078838174274,0.5849802371541502
mRNA_002255,iB_10523,TC005716,TC034838,167,0.4441489361702128,0.7076271186440678
mRNA_002260,iB_06961,TC004212,TC005206,194,0.41452991452991456,0.521505376344086
mRNA_002260,iB_17493,TC004212,TC002157,163,0.3482905982905983,0.7342342342342343
mRNA_002264,iB_16003,TC001859,TC004101,105,0.84,0.4751131221719457
mRNA_002267,iB_15437,TC010981,TC008591,141,0.5,0.7014925373134329
mRNA_002275,iB_17658,TC004905,TC006080,74,0.15071283095723015,0.6218487394957983
mRNA_002285,iB_01193,TC007450,TC008049,439,0.9300847457627118,0.9502164502164502
mRNA_002292,iB_10852,TC014545,TC033184,209,0.4372384937238494,1.0
mRNA_002298,mRNA_000157,TC002765,TC016145,121,0.5761904761904761,0.45318352059925093
mRNA_002301,iB_09354,TC005768,TC006361,211,0.8940677966101694,0.8307086614173228
mRNA_002309,iB_03226,TC000314,TC034291,225,0.9183673469387755,0.5056179775280899
mRNA_002318,mRNA_000158,TC033032,TC013970,75,0.3024193548387097,0.635593220338983
mRNA_002323,iB_00801,TC005079,TC032668,458,0.899803536345776,1.0
mRNA_002324,mRNA_001965,TC030959,TC031171,169,0.3611111111111111,0.7412280701754386
mRNA_002338,iB_10481,TC030054,TC033598,205,0.41836734693877553,1.0
mRNA_002340,iB_04701,TC009791,TC031200,158,0.6422764227642277,0.34051724137931033
mRNA_002356,iB_12615,TC005063,TC011483,167,0.30755064456721914,0.7422222222222222
mRNA_002394,iB_14435,TC031256,TC011496,56,0.3660130718954248,0.5045045045045045
mRNA_002413,iB_03704,TC004184,TC034935,154,0.7129629629629629,0.33624454148471616
mRNA_002413,iB_17655,TC004184,TC016138,63,0.2916666666666667,0.5121951219512195
mRNA_002420,iB_12967,TC015346,TC015423,126,0.5407725321888412,0.6146341463414634
mRNA_002443,iB_03703,TC031943,TC035038,343,0.6070796460176991,0.6634429400386848
mRNA_002452,iB_05403,TC013243,TC031153,238,1.0,0.519650655021834
mRNA_002460,iB_15515,TC034999,TC031948,206,0.4095427435387674,0.7984496124031008
mRNA_002469,iB_16399,TC006831,TC004201,117,0.5763546798029556,0.6964285714285714
mRNA_002476,iB_15382,TC033724,TC034810,130,0.52,0.6074766355140186
mRNA_002489,mRNA_000087,TC031852,TC030984,199,0.7834645669291339,0.8805309734513275
mRNA_002501,iB_08455,TC033287,TC035004,149,0.2754158964879852,0.7163461538461539
mRNA_002506,iB_14104,TC010227,TC006074,124,0.46616541353383456,0.5849056603773585
mRNA_002522,iB_15859,TC001395,TC034916,137,0.6715686274509803,1.0
mRNA_002535,mRNA_000119,TC031317,TC030937,54,0.7397260273972602,0.14594594594594595
mRNA_002546,iB_14038,TC005240,TC005059,200,0.8733624454148472,0.8695652173913043
mRNA_002556,iB_07386,TC002657,TC031693,235,1.0,0.4072790294627383
mRNA_002558,iB_15424,TC031716,TC009703,204,0.43312101910828027,1.0
mRNA_002561,iB_04025,TC005870,TC006277,313,0.657563025210084,0.663135593220339
mRNA_002571,iB_10816,TC006075,TC033503,142,0.6311111111111111,0.6761904761904762
mRNA_002580,iB_00407,TC004306,TC031333,187,0.85,0.3603082851637765
mRNA_002596,mRNA_000305,TC031217,TC031218,120,0.4878048780487805,0.5309734513274337
mRNA_002598,iB_16491,TC006145,TC006922,208,0.4,0.9122807017543859
mRNA_002598,mRNA_001471,TC006145,TC016184,110,0.21153846153846154,0.5188679245283019
mRNA_002601,mRNA_002268,TC010305,TC034945,220,0.8461538461538461,1.0
mRNA_002607,iB_07389,TC003219,TC032967,209,1.0,0.408203125
mRNA_002611,iB_08282,TC013515,TC031144,456,1.0,0.8941176470588236
mRNA_002612,iB_15623,TC030988,TC034548,276,0.5401174168297456,1.0
mRNA_002614,iB_06751,TC004254,TC009800,377,0.8195652173913044,0.7970401691331924
mRNA_002618,iB_07468,TC030328,TC031292,397,0.8428874734607219,0.7799607072691552
mRNA_002627,iB_04230,TC015306,TC033322,155,0.7635467980295566,0.35147392290249435
mRNA_002634,iB_10816,TC016169,TC033503,205,0.41836734693877553,0.9761904761904762
mRNA_002637,iB_16569,TC032088,TC000860,169,0.8125,0.7191489361702128
mRNA_002655,iB_15428,TC003412,TC030932,231,0.5088105726872246,1.0
mRNA_002665,iB_02524,TC015893,TC015956,291,1.0,0.5773809523809523
mRNA_002692,mRNA_002627,TC001484,TC015306,143,0.26579925650557623,0.7044334975369458
mRNA_002694,iB_16540,TC031008,TC033293,140,0.2783300198807157,0.5907172995780591
mRNA_002695,iB_16374,TC006959,TC005289,185,0.33697632058287796,0.9024390243902439
mRNA_002725,iB_06973,TC003635,TC016332,398,0.8824833702882483,0.7552182163187856
mRNA_002730,iB_15450,TC007262,TC008207,260,0.5273833671399595,1.0
mRNA_002751,iB_06789,TC004188,TC014952,223,1.0,0.4734607218683652
mRNA_002758,iB_15429,TC032278,TC031085,130,0.5220883534136547,0.7692307692307693
mRNA_002769,iB_06765,TC001497,TC031910,364,0.8544600938967136,0.9891304347826086
mRNA_002775,iB_16003,TC004337,TC004101,176,0.7892376681614349,0.7963800904977375
mRNA_002778,iB_08455,TC011590,TC035004,191,0.4089935760171306,0.9182692307692307
mRNA_002783,mRNA_001434,TC001429,TC001826,165,0.6991525423728814,0.35560344827586204
mRNA_002786,iB_16403,TC006077,TC006015,207,0.9627906976744186,0.75
mRNA_002806,iB_17048,TC006179,TC002176,105,0.5147058823529411,0.5223880597014925
mRNA_002818,iB_02543,TC016000,TC035038,83,0.7477477477477478,0.17584745762711865
mRNA_002823,iB_09134,TC030551,TC030698,215,0.4988399071925754,0.8531746031746031
mRNA_002827,iB_04518,TC008562,TC033905,268,0.5234375,0.5381526104417671
mRNA_002827,iB_16038,TC008562,TC005265,134,0.26171875,0.6536585365853659
mRNA_002827,mRNA_000540,TC008562,TC032975,201,0.392578125,1.0
mRNA_002831,iB_03332,TC001991,TC034493,236,1.0,0.48459958932238195
mRNA_002831,mRNA_000135,TC001991,TC005061,167,0.7076271186440678,0.328740157480315
mRNA_002832,iB_17559,TC015884,TC004411,114,0.5671641791044776,1.0
mRNA_002856,mRNA_000330,TC005019,TC031296,169,0.6575875486381323,0.3603411513859275
mRNA_002860,iB_02971,TC000071,TC032776,314,0.639511201629328,0.6528066528066528
mRNA_002871,iB_04346,TC032775,TC033563,208,1.0,0.4611973392461197
mRNA_002882,iB_04551,TC008846,TC009981,406,0.8638297872340426,0.9712918660287081
mRNA_002887,iB_00673,TC004259,TC032077,166,0.7942583732057417,0.3562231759656652
mRNA_002888,iB_16294,TC000149,TC003662,141,0.29313929313929316,0.7014925373134329
mRNA_002888,iB_17645,TC000149,TC031222,58,0.12058212058212059,0.5225225225225225
mRNA_002888,iB_17658,TC000149,TC006080,78,0.16216216216216217,0.6554621848739496
mRNA_002901,iB_03337,TC002264,TC002305,282,1.0,0.5936842105263158
mRNA_002910,iB_06644,TC031895,TC034939,193,0.7877551020408163,0.4080338266384778
mRNA_002928,iB_06774,TC031906,TC034966,308,0.5889101338432122,0.6814159292035398
mRNA_002934,iB_00355,TC002325,TC032951,122,0.5980392156862745,0.2687224669603524
mRNA_002935,iB_15947,TC030895,TC033324,209,0.45336225596529284,1.0
mRNA_002946,mRNA_000034,TC001386,TC001990,341,0.7239915074309978,0.7349137931034483
mRNA_002951,iB_03332,TC005063,TC034493,425,0.8673469387755102,0.8726899383983573
mRNA_002954,mRNA_001382,TC016169,TC001993,317,0.698237885462555,0.5914179104477612
mRNA_002956,iB_16956,TC002019,TC031301,62,0.13135593220338984,0.543859649122807
mRNA_002956,mRNA_000411,TC002019,TC031118,232,0.4915254237288136,0.8083623693379791
mRNA_002962,mRNA_001196,TC002033,TC002031,149,0.6622222222222223,0.3170212765957447
mRNA_002971,mRNA_000259,TC006929,TC031861,220,0.4247104247104247,1.0
mRNA_002985,mRNA_001503,TC031178,TC030959,163,0.35667396061269147,0.7244444444444444
mRNA_002989,mRNA_000065,TC001789,TC004255,109,0.23542116630669546,0.5190476190476191
mRNA_003032,iB_12901,TC033185,TC014547,240,0.5381165919282511,0.8362369337979094
mRNA_003048,iB_01634,TC009954,TC031206,302,0.6726057906458798,0.668141592920354
mRNA_003069,iB_07032,TC003789,TC034900,179,0.8905472636815921,0.38913043478260867
mRNA_003077,mRNA_000552,TC005063,TC005240,146,0.7192118226600985,0.37823834196891193
mRNA_003080,iB_04221,TC006833,TC034941,398,0.8824833702882483,0.8614718614718615
mRNA_003093,iB_16368,TC006920,TC001486,137,0.5930735930735931,0.5756302521008403
mRNA_003093,mRNA_000822,TC006920,TC000017,124,0.5367965367965368,0.26439232409381663
mRNA_003096,mRNA_001471,TC004212,TC016184,125,0.6218905472636815,0.589622641509434
mRNA_003130,iB_17478,TC001789,TC002329,73,0.16150442477876106,0.6033057851239669
mRNA_003133,mRNA_000274,TC012941,TC031310,6,1.0,0.03389830508474576
mRNA_003133,mRNA_002459,TC012941,TC002410,6,1.0,0.04225352112676056
mRNA_003165,iB_05761,TC015148,TC031345,285,1.0,0.5677290836653387
mRNA_003168,iB_10535,TC004941,TC004942,130,0.48507462686567165,0.5855855855855856
mRNA_003189,mRNA_000332,TC004307,TC016236,138,0.6448598130841121,0.30131004366812225
mRNA_003198,iB_03929,TC005244,TC034493,235,0.5153508771929824,0.4644268774703557
mRNA_003207,iB_01217,TC034100,TC034674,232,1.0,0.49572649572649574
mRNA_003214,iB_12077,TC016117,TC001821,113,0.2173076923076923,0.5621890547263682
mRNA_003247,mRNA_000272,TC006136,TC010710,202,1.0,0.390715667311412
mRNA_003253,mRNA_001357,TC006912,TC016324,209,0.7491039426523297,0.4418604651162791
mRNA_003262,iB_14652,TC033191,TC014567,121,0.4859437751004016,0.555045871559633
mRNA_003294,mRNA_002269,TC033020,TC031134,256,0.5009784735812133,0.4942084942084942
mRNA_003323,mRNA_001967,TC005151,TC005193,179,0.6937984496124031,0.3968957871396896
mRNA_003324,iB_03919,TC001789,TC032704,248,0.49899396378269617,0.505091649694501
mRNA_003343,iB_16351,TC005194,TC002326,253,0.4625228519195612,0.8754325259515571
mRNA_003343,iB_16505,TC005194,TC001857,122,0.2230347349177331,0.5041322314049587
mRNA_003352,iB_07728,TC006965,TC034914,417,0.912472647702407,0.7380530973451327
mRNA_003372,iB_15439,TC012138,TC034853,176,0.6470588235294118,0.8148148148148148
mRNA_003377,iB_06126,TC000492,TC030998,175,0.7641921397379913,0.4943502824858757
mRNA_003399,iB_03954,TC005455,TC006683,426,0.8658536585365854,0.9424778761061947
mRNA_003441,iB_05722,TC014907,TC033469,241,0.7507788161993769,0.501039501039501
mRNA_003451,iB_07373,TC000613,TC000967,484,1.0,0.9565217391304348
mRNA_003467,iB_16833,TC032554,TC002640,168,0.702928870292887,0.835820895522388
mRNA_003473,iB_03698,TC031484,TC035027,152,0.6816143497757847,0.3275862068965517
mRNA_003474,mRNA_002586,TC004225,TC004224,159,0.7429906542056075,0.6973684210526315
mRNA_003484,iB_00254,TC001472,TC035044,171,0.7772727272727272,0.34685598377281945
mRNA_003508,iB_16355,TC002798,TC032450,139,0.4384858044164038,0.5889830508474576
mRNA_003517,iB_00203,TC000992,TC000993,409,0.8872017353579176,0.9855421686746988
mRNA_003519,iB_01269,TC007805,TC007816,309,0.7339667458432304,0.6761487964989059
mRNA_003520,mRNA_002095,TC030973,TC002039,116,0.22179732313575526,0.5155555555555555
mRNA_003530,iB_06774,TC031905,TC034966,339,1.0,0.75
mRNA_003538,iB_16227,TC031898,TC031261,173,0.3333333333333333,0.8009259259259259
mRNA_003543,iB_06692,TC001405,TC034535,177,0.8232558139534883,0.37659574468085105
mRNA_003591,iB_06069,TC030780,TC032762,385,0.8369565217391305,0.7793522267206477
mRNA_003606,mRNA_001484,TC004269,TC011586,165,0.3548387096774194,0.8918918918918919
mRNA_003612,iB_16928,TC000600,TC000599,87,0.4943181818181818,0.7372881355932204
mRNA_003615,iB_15452,TC031864,TC033280,188,0.3436928702010969,0.8744186046511628
mRNA_003626,iB_00976,TC006014,TC033295,450,0.9656652360515021,0.9355509355509356
mRNA_003631,iB_01881,TC011712,TC012778,356,0.7574468085106383,1.0
mRNA_003680,iB_16312,TC016257,TC000036,129,0.27505330490405117,0.6649484536082474
mRNA_003696,iB_14687,TC015006,TC015008,142,0.27626459143968873,0.7064676616915423
mRNA_003716,iB_01885,TC011730,TC012754,325,0.6989247311827957,0.8419689119170984
mRNA_003729,iB_16929,TC004351,TC001858,131,0.2563600782778865,0.5282258064516129
mRNA_003765,iB_16312,TC011600,TC000036,133,0.2776617954070981,0.6855670103092784
mRNA_003777,iB_10229,TC015790,TC033449,120,0.37383177570093457,0.7453416149068323
mRNA_003833,mRNA_001427,TC031775,TC010687,155,0.31568228105906315,0.6512605042016807
mRNA_003835,iB_12172,TC009424,TC005042,135,0.5672268907563025,0.8282208588957055
mRNA_003840,mRNA_001378,TC034637,TC034828,23,0.92,0.10087719298245613
mRNA_003843,iB_05771,TC015187,TC015527,118,1.0,0.2559652928416486
mRNA_003863,iB_15348,TC007261,TC034659,153,0.32210526315789473,0.7611940298507462
mRNA_003873,iB_07673,TC005013,TC032967,256,0.5311203319502075,0.45714285714285713
mRNA_003900,mRNA_000419,TC012984,TC032519,142,0.6893203883495146,0.302771855010661
mRNA_003904,iB_03703,TC031737,TC035038,360,0.7114624505928854,0.6963249516441006
mRNA_003927,mRNA_001559,TC001825,TC001429,115,0.5450236966824644,0.22072936660268713
mRNA_003935,iB_09299,TC001659,TC001660,205,0.9715639810426541,0.9234234234234234
mRNA_003948,iB_04231,TC004353,TC031778,107,0.5169082125603864,0.21188118811881188
mRNA_003954,iB_10976,TC013248,TC013249,162,0.3176470588235294,0.7074235807860262
mRNA_003962,iB_08806,TC008623,TC010194,323,0.630859375,0.5767857142857142
mRNA_003970,iB_16486,TC031007,TC034932,107,0.5270935960591133,0.47555555555555556
mRNA_003976,iB_16416,TC005076,TC011591,95,0.8333333333333334,0.5080213903743316
mRNA_003993,iB_15752,TC031472,TC031471,187,0.37250996015936255,0.9303482587064676
mRNA_004042,mRNA_001369,TC034709,TC014694,123,0.5913461538461539,0.2668112798264642
mRNA_004063,mRNA_001227,TC031886,TC030958,108,0.20650095602294455,0.5192307692307693
mRNA_004083,iB_10091,TC013254,TC014551,154,0.7661691542288557,0.6905829596412556
mRNA_004088,iB_03891,TC031650,TC031715,153,0.5523465703971119,0.2892249527410208
mRNA_004088,mRNA_003422,TC031650,TC005019,178,0.6425992779783394,0.3463035019455253
mRNA_004118,mRNA_003035,TC006893,TC001812,112,0.509090909090909,0.24615384615384617
mRNA_004154,mRNA_003520,TC003603,TC030973,215,0.8269230769230769,0.4110898661567878
mRNA_004155,iB_05267,TC012555,TC034383,187,0.9257425742574258,0.4118942731277533
mRNA_004183,iB_03183,TC031838,TC035002,274,0.5425742574257426,0.683291770573566
mRNA_004200,iB_05726,TC009497,TC014931,195,0.6724137931034483,0.42669584245076586
mRNA_004221,iB_06943,TC002921,TC003522,223,1.0,0.43133462282398455
mRNA_004224,iB_17646,TC002765,TC016095,95,0.18774703557312253,0.8260869565217391
mRNA_004237,iB_05375,TC013039,TC014763,275,0.5913978494623656,0.565843621399177
mRNA_004248,iB_06765,TC031843,TC031910,368,0.8034934497816594,1.0
mRNA_004262,iB_03540,TC003331,TC031024,355,0.7186234817813765,0.7836644591611479
mRNA_004263,iB_15372,TC009478,TC034755,124,0.5462555066079295,0.5462555066079295
mRNA_004278,iB_07773,TC031203,TC034773,145,1.0,0.7360406091370558
mRNA_004307,iB_01100,TC004179,TC015454,290,0.625,0.5811623246492986
mRNA_004322,iB_06708,TC004264,TC034662,389,0.8401727861771058,0.8365591397849462
mRNA_004334,iB_05963,TC006957,TC034917,246,0.9425287356321839,0.6852367688022284
mRNA_004340,iB_05064,TC011626,TC015536,303,0.606,0.7013888888888888
mRNA_004353,iB_16342,TC032015,TC034545,213,0.5933147632311978,0.8838174273858921
mRNA_004364,iB_14521,TC012195,TC012886,119,0.25427350427350426,0.8561151079136691
mRNA_004378,iB_16465,TC005262,TC006878,112,1.0,0.7943262411347518
mRNA_004383,iB_07111,TC011045,TC011446,225,0.4966887417218543,0.5610972568578554
mRNA_004395,mRNA_001795,TC000601,TC000600,127,0.8523489932885906,0.4980392156862745
mRNA_004429,iB_13686,TC005019,TC016049,202,0.4297872340425532,0.8015873015873016
mRNA_004430,iB_03197,TC031730,TC031731,172,0.8775510204081632,0.3453815261044177
mRNA_004467,iB_16368,TC010232,TC001486,121,0.32266666666666666,0.5084033613445378
mRNA_004475,iB_01966,TC012323,TC034854,454,0.9557894736842105,0.9171717171717172
mRNA_004524,iB_02606,TC030605,TC030638,301,0.5594795539033457,1.0
mRNA_004541,iB_01811,TC011135,TC011347,281,1.0,0.5793814432989691
mRNA_004552,iB_07411,TC009341,TC009473,213,1.0,0.4234592445328032
mRNA_004596,iB_15379,TC010016,TC034800,207,0.40828402366863903,0.9324324324324325
mRNA_004616,iB_16614,TC032235,TC000283,147,0.6150627615062761,0.7241379310344828
mRNA_004620,iB_10543,TC000682,TC032095,173,0.35670103092783506,0.6313868613138686
mRNA_004645,mRNA_001857,TC001856,TC004349,91,0.7913043478260869,0.1948608137044968
mRNA_004699,iB_05199,TC012250,TC031226,110,0.5314009661835749,0.2422907488986784
mRNA_004702,iB_16294,TC002874,TC003662,114,0.2425531914893617,0.5671641791044776
mRNA_004756,iB_17559,TC030963,TC004411,80,0.3305785123966942,0.7017543859649122
mRNA_004798,iB_06527,TC012803,TC031250,421,0.9929245283018868,0.9152173913043479
mRNA_004821,iB_16003,TC032277,TC004101,201,0.4369565217391304,0.9095022624434389
mRNA_004822,iB_03922,TC005211,TC033924,211,0.9547511312217195,0.43775933609958506
mRNA_004825,mRNA_002205,TC005193,TC004348,83,0.16869918699186992,0.5724137931034483
mRNA_004841,mRNA_003749,TC010616,TC002323,144,0.7164179104477612,0.64
mRNA_004844,iB_16003,TC010683,TC004101,140,0.6896551724137931,0.6334841628959276
mRNA_004868,iB_07788,TC008558,TC031763,275,0.596529284164859,0.6723716381418093
mRNA_004876,iB_16460,TC000019,TC006144,174,0.8787878787878788,0.7565217391304347
mRNA_004886,iB_16228,TC032805,TC007445,132,0.2721649484536082,1.0
mRNA_004887,mRNA_000374,TC000722,TC000725,61,0.5446428571428571,0.25102880658436216
mRNA_004894,iB_10747,TC008525,TC010284,155,0.8333333333333334,0.7077625570776256
mRNA_004902,mRNA_000403,TC004226,TC002033,248,1.0,0.6138613861386139
mRNA_004908,iB_04804,TC034382,TC034963,122,1.0,0.3685800604229607
mRNA_004911,mRNA_001960,TC008278,TC032868,118,0.2616407982261641,1.0
mRNA_004941,iB_17559,TC030981,TC004411,96,0.45933014354066987,0.8421052631578947
mRNA_004994,iB_10897,TC006081,TC031267,228,0.4596774193548387,1.0
mRNA_005090,iB_07338,TC013188,TC014628,208,1.0,0.416
mRNA_005104,mRNA_001059,TC031535,TC010793,104,0.49760765550239233,0.5174129353233831
mRNA_005242,mRNA_002300,TC006947,TC006948,112,0.5,0.4375
mRNA_005304,mRNA_000528,TC016236,TC003422,143,0.55,0.26383763837638374
mRNA_005305,mRNA_001427,TC005152,TC010687,136,0.49635036496350365,0.5714285714285714
mRNA_005323,iB_07195,TC031891,TC032837,191,0.74609375,0.4179431072210066
mRNA_005352,iB_09306,TC005304,TC031294,230,0.46747967479674796,1.0
mRNA_005382,iB_16169,TC004184,TC031949,74,0.3645320197044335,0.5034013605442177
mRNA_005385,iB_12912,TC013198,TC014617,224,0.4163568773234201,1.0
mRNA_005407,mRNA_000882,TC033133,TC031147,210,1.0,0.4046242774566474
mRNA_005414,iB_06342,TC014947,TC030912,106,0.5145631067961165,0.23503325942350334
mRNA_005415,mRNA_005281,TC034614,TC031705,174,0.8656716417910447,0.8325358851674641
